Date,Open,High,Low,Close,Volume,Market Cap
"Feb 03, 2021","$35,510.82","$37,480.19","$35,443.98","$37,472.09","$61,166,818,159","$697,672,910,488"
"Feb 02, 2021","$33,533.20","$35,896.88","$33,489.22","$35,510.29","$63,088,585,433","$661,114,581,664"
"Feb 01, 2021","$33,114.58","$34,638.21","$32,384.23","$33,537.18","$61,400,400,660","$624,349,044,409"
"Jan 31, 2021","$34,270.88","$34,288.33","$32,270.18","$33,114.36","$52,754,542,671","$616,452,744,533"
"Jan 30, 2021","$34,295.94","$34,834.71","$32,940.19","$34,269.52","$65,141,828,798","$637,924,573,284"
"Jan 29, 2021","$34,318.67","$38,406.26","$32,064.81","$34,316.39","$117,894,572,511","$638,768,671,362"
"Jan 28, 2021","$30,441.04","$31,891.30","$30,023.21","$31,649.61","$78,948,162,368","$589,083,045,078"
"Jan 27, 2021","$32,564.03","$32,564.03","$29,367.14","$30,432.55","$62,576,762,015","$566,417,413,554"
"Jan 26, 2021","$32,358.61","$32,794.55","$31,030.27","$32,569.85","$60,255,421,470","$606,169,260,387"
"Jan 25, 2021","$32,285.80","$34,802.74","$32,087.79","$32,366.39","$59,897,054,838","$602,350,097,075"
"Jan 24, 2021","$32,064.38","$32,944.01","$31,106.69","$32,289.38","$48,643,830,599","$600,888,568,010"
"Jan 23, 2021","$32,985.76","$33,360.98","$31,493.16","$32,067.64","$48,354,737,975","$596,733,137,645"
"Jan 22, 2021","$30,817.63","$33,811.85","$28,953.37","$33,005.76","$77,207,272,511","$614,160,521,492"
"Jan 21, 2021","$35,549.40","$35,552.68","$30,250.75","$30,825.70","$75,643,067,688","$573,565,664,943"
"Jan 20, 2021","$36,050.11","$36,378.33","$33,570.48","$35,547.75","$66,834,573,161","$661,400,102,161"
"Jan 19, 2021","$36,642.23","$37,755.89","$36,069.81","$36,069.81","$57,244,195,486","$671,081,200,700"
"Jan 18, 2021","$35,792.24","$37,299.29","$34,883.84","$36,630.08","$49,511,702,429","$681,470,030,572"
"Jan 17, 2021","$36,163.65","$36,722.35","$34,069.32","$35,791.28","$52,359,854,336","$665,831,621,391"
